Surf Spot,Month,SST (°C)
Matara,2024-06,2894.3333333333335
Matara,2024-07,2859.1935483870966
Matara,2024-08,2859.6451612903224
Matara,2024-09,2905.9666666666667
Matara,2024-10,2879.8064516129034
Matara,2024-11,2971.8
Matara,2024-12,2888.3333333333335
Midigama Left (market),2024-01,2837.4193548387098
Midigama Left (market),2024-02,2891.206896551724
Midigama Left (market),2024-03,2950.935483870968
Midigama Left (market),2024-04,3048.8
Midigama Left (market),2024-05,2948.516129032258
Midigama Left (market),2024-06,2899.5333333333333
Midigama Left (market),2024-07,2881.2258064516127
Midigama Left (market),2024-08,2874.967741935484
Midigama Left (market),2024-09,2906.766666666667
Midigama Left (market),2024-10,2881.7096774193546
Midigama Left (market),2024-11,2970.5
Midigama Left (market),2024-12,2891.633333333333
Midigama Right,2024-01,2837.4193548387098
Midigama Right,2024-02,2891.206896551724
Midigama Right,2024-03,2950.935483870968
Midigama Right,2024-04,3048.8
Midigama Right,2024-05,2948.516129032258
Midigama Right,2024-06,2899.5333333333333
Midigama Right,2024-07,2881.2258064516127
Midigama Right,2024-08,2874.967741935484
Midigama Right,2024-09,2906.766666666667
Midigama Right,2024-10,2881.7096774193546
Midigama Right,2024-11,2970.5
Midigama Right,2024-12,2891.633333333333
Mirissa,2024-01,2837.4193548387098
Mirissa,2024-02,2891.206896551724
Mirissa,2024-03,2950.935483870968
Mirissa,2024-04,3048.8
Mirissa,2024-05,2948.516129032258
Mirissa,2024-06,2899.5333333333333
Mirissa,2024-07,2881.2258064516127
Mirissa,2024-08,2874.967741935484
Mirissa,2024-09,2906.766666666667
Mirissa,2024-10,2881.7096774193546
Mirissa,2024-11,2970.5
Mirissa,2024-12,2891.633333333333
Okanda,2024-01,2821.7419354838707
Okanda,2024-02,2865.551724137931
Okanda,2024-03,2942.5806451612902
Okanda,2024-04,3049.733333333333
Okanda,2024-05,3029.6774193548385
Okanda,2024-06,2978.1
Okanda,2024-07,2932.2903225806454
Okanda,2024-08,2915.6451612903224
Okanda,2024-09,2916.9666666666667
Okanda,2024-10,2921.0
Okanda,2024-11,2975.7
Okanda,2024-12,2830.2
Peanuts Farm,2024-01,2805.483870967742
Peanuts Farm,2024-02,2862.9310344827586
Peanuts Farm,2024-03,2939.8709677419356
Peanuts Farm,2024-04,3045.766666666667
Peanuts Farm,2024-05,3023.2580645161293
Peanuts Farm,2024-06,3006.3
Peanuts Farm,2024-07,2968.1612903225805
Peanuts Farm,2024-08,2932.1612903225805
Peanuts Farm,2024-09,2941.4666666666667
Peanuts Farm,2024-10,2926.6129032258063
Peanuts Farm,2024-11,2968.5666666666666
Peanuts Farm,2024-12,2825.1666666666665
Pottuvil Point,2024-01,2805.483870967742
Pottuvil Point,2024-02,2862.9310344827586
Pottuvil Point,2024-03,2939.8709677419356
Pottuvil Point,2024-04,3045.766666666667
Pottuvil Point,2024-05,3023.2580645161293
Pottuvil Point,2024-06,3006.3
Pottuvil Point,2024-07,2968.1612903225805
Pottuvil Point,2024-08,2932.1612903225805
Pottuvil Point,2024-09,2941.4666666666667
Pottuvil Point,2024-10,2926.6129032258063
Pottuvil Point,2024-11,2968.5666666666666
Pottuvil Point,2024-12,2825.1666666666665
Rockside Induruwa,2024-01,2852.8064516129034
Rockside Induruwa,2024-02,2924.137931034483
Rockside Induruwa,2024-03,2974.7096774193546
Rockside Induruwa,2024-04,3084.0333333333333
Rockside Induruwa,2024-05,2998.2258064516127
Rockside Induruwa,2024-06,2909.4333333333334
Rockside Induruwa,2024-07,2894.935483870968
Rockside Induruwa,2024-08,2900.6129032258063
Rockside Induruwa,2024-09,2908.1
Rockside Induruwa,2024-10,2891.451612903226
Rockside Induruwa,2024-11,2964.6
Rockside Induruwa,2024-12,2901.366666666667
South Beach,2024-01,2837.4193548387098
South Beach,2024-02,2891.206896551724
South Beach,2024-03,2950.935483870968
South Beach,2024-04,3048.8
South Beach,2024-05,2948.516129032258
South Beach,2024-06,2899.5333333333333
South Beach,2024-07,2881.2258064516127
South Beach,2024-08,2874.967741935484
South Beach,2024-09,2906.766666666667
South Beach,2024-10,2881.7096774193546
South Beach,2024-11,2970.5
South Beach,2024-12,2891.633333333333
Thalpe,2024-01,2837.4193548387098
Thalpe,2024-02,2891.206896551724
Thalpe,2024-03,2950.935483870968
Thalpe,2024-04,3048.8
Thalpe,2024-05,2948.516129032258
Thalpe,2024-06,2899.5333333333333
Thalpe,2024-07,2881.2258064516127
Thalpe,2024-08,2874.967741935484
Thalpe,2024-09,2906.766666666667
Thalpe,2024-10,2881.7096774193546
Thalpe,2024-11,2970.5
Thalpe,2024-12,2891.633333333333
Thalyadi,2024-01,2752.1612903225805
Thalyadi,2024-02,2843.2758620689656
Thalyadi,2024-03,2952.6129032258063
Thalyadi,2024-04,3081.0666666666666
Thalyadi,2024-05,3058.967741935484
Thalyadi,2024-06,2939.233333333333
Thalyadi,2024-07,2920.1290322580644
Thalyadi,2024-08,2926.3548387096776
Thalyadi,2024-09,2910.0333333333333
Thalyadi,2024-10,2949.4193548387098
Thalyadi,2024-11,2948.6
Thalyadi,2024-12,2798.4333333333334
Unawatuna,2024-01,2842.8633629902088
Unawatuna,2024-02,2912.9854417937413
Unawatuna,2024-03,2960.0650628758885
Unawatuna,2024-04,3064.901078582435
Unawatuna,2024-05,2968.6547045081766
Unawatuna,2024-06,2909.280071905496
Unawatuna,2024-07,2895.847606739898
Unawatuna,2024-08,2890.3390327551074
Unawatuna,2024-09,2908.9917308680024
Unawatuna,2024-10,2883.4802425567873
Unawatuna,2024-11,2967.1493579866465
Unawatuna,2024-12,2896.872008217771
Weligama,2024-01,2837.4193548387098
Weligama,2024-02,2891.206896551724
Weligama,2024-03,2950.935483870968
Weligama,2024-04,3048.8
Weligama,2024-05,2948.516129032258
Weligama,2024-06,2899.5333333333333
Weligama,2024-07,2881.2258064516127
Weligama,2024-08,2874.967741935484
Weligama,2024-09,2906.766666666667
Weligama,2024-10,2881.7096774193546
Weligama,2024-11,2970.5
Weligama,2024-12,2891.633333333333
Whiskey Point,2024-01,2805.483870967742
