Month,SST
2020-01,2814.1935483870966
2020-02,2830.448275862069
2020-03,2890.548387096774
2020-04,2998.5333333333333
2020-05,3021.1290322580644
2020-06,3029.0666666666666
2020-07,2975.2580645161293
2020-08,2901.516129032258
2020-09,2903.0333333333333
2020-10,2879.0967741935483
2020-11,2924.3
2020-12,2786.9666666666667
2021-01,2799.1612903225805
2021-02,2774.3928571428573
2021-03,2889.7741935483878
2021-04,2953.8
2021-05,3043.1935483870966
2021-06,3013.266666666667
2021-07,2978.2903225806454
2021-08,2913.1290322580644
2021-09,2855.6666666666665
2021-10,2902.8387096774195
2021-11,2897.233333333333
2021-12,2838.633333333333
2022-01,2769.8387096774195
2022-02,2829.0714285714284
2022-03,2885.967741935484
2022-04,2980.7
2022-05,2982.6774193548385
2022-06,2961.833333333333
2022-07,2933.2580645161293
2022-08,2840.6774193548385
2022-09,2861.866666666667
2022-10,2929.032258064516
2022-11,2834.266666666667
2022-12,2726.9666666666667
2023-01,2703.322580645161
2023-02,2758.3928571428573
2023-03,2854.516129032258
2023-04,3015.5333333333333
2023-05,2998.322580645161
2023-06,2981.9
2023-07,2911.870967741936
2023-08,2840.6129032258063
2023-09,2845.133333333333
2023-10,2880.6774193548385
2023-11,2916.333333333333
2023-12,2840.9666666666667
2024-01,2805.483870967742
2024-02,2862.9310344827586
2024-03,2939.870967741936
2024-04,3045.766666666667
2024-05,3023.2580645161293
2024-06,3006.3
2024-07,2968.1612903225805
2024-08,2932.1612903225805
2024-09,2941.4666666666667
2024-10,2926.6129032258063
2024-11,2968.5666666666666
2024-12,2825.1666666666665
