Date,SST
2020-01-01,2814.1935483870966
2020-01-02,2814.7178944346765
2020-01-03,2815.242240482256
2020-01-04,2815.766586529836
2020-01-05,2816.290932577416
2020-01-06,2816.8152786249952
2020-01-07,2817.339624672575
2020-01-08,2817.863970720155
2020-01-09,2818.3883167677345
2020-01-10,2818.9126628153144
2020-01-11,2819.437008862894
2020-01-12,2819.961354910474
2020-01-13,2820.4857009580537
2020-01-14,2821.010047005633
2020-01-15,2821.534393053213
2020-01-16,2822.058739100793
2020-01-17,2822.5830851483724
2020-01-18,2823.1074311959524
2020-01-19,2823.6317772435323
2020-01-20,2824.156123291112
2020-01-21,2824.680469338692
2020-01-22,2825.2048153862715
2020-01-23,2825.729161433851
2020-01-24,2826.253507481431
2020-01-25,2826.7778535290104
2020-01-26,2827.3021995765903
2020-01-27,2827.82654562417
2020-01-28,2828.3508916717497
2020-01-29,2828.8752377193296
2020-01-30,2829.399583766909
2020-01-31,2829.923929814489
2020-02-01,2830.448275862069
2020-02-02,2832.520693490852
2020-02-03,2834.5931111196346
2020-02-04,2836.6655287484177
2020-02-05,2838.7379463772004
2020-02-06,2840.8103640059835
2020-02-07,2842.8827816347666
2020-02-08,2844.9551992635493
2020-02-09,2847.0276168923324
2020-02-10,2849.1000345211155
2020-02-11,2851.172452149898
2020-02-12,2853.2448697786813
2020-02-13,2855.317287407464
2020-02-14,2857.389705036247
2020-02-15,2859.46212266503
2020-02-16,2861.534540293813
2020-02-17,2863.606957922596
2020-02-18,2865.679375551379
2020-02-19,2867.7517931801617
2020-02-20,2869.824210808945
2020-02-21,2871.8966284377275
2020-02-22,2873.9690460665106
2020-02-23,2876.0414636952937
2020-02-24,2878.1138813240764
2020-02-25,2880.1862989528595
2020-02-26,2882.2587165816426
2020-02-27,2884.3311342104253
2020-02-28,2886.4035518392084
2020-02-29,2888.475969467991
2020-03-01,2890.548387096774
2020-03-02,2894.031772459244
2020-03-03,2897.5151578217133
2020-03-04,2900.9985431841837
2020-03-05,2904.481928546653
2020-03-06,2907.9653139091224
2020-03-07,2911.448699271592
2020-03-08,2914.932084634061
2020-03-09,2918.415469996532
2020-03-10,2921.898855359001
2020-03-11,2925.3822407214707
2020-03-12,2928.86562608394
2020-03-13,2932.34901144641
2020-03-14,2935.83239680888
2020-03-15,2939.3157821713494
2020-03-16,2942.799167533819
2020-03-17,2946.2825528962885
2020-03-18,2949.765938258758
