Surf Spot,Month,SST (°C)
Matara,2023-07,2766.451612903226
Matara,2023-08,2873.8709677419356
Matara,2023-09,2866.7
Matara,2023-10,2874.6451612903224
Matara,2023-11,2914.733333333333
Matara,2023-12,2880.5
Midigama Left (market),2023-01,2771.548387096774
Midigama Left (market),2023-02,2783.535714285714
Midigama Left (market),2023-03,2869.3225806451615
Midigama Left (market),2023-04,3019.8
Midigama Left (market),2023-05,2922.7741935483873
Midigama Left (market),2023-06,2854.3
Midigama Left (market),2023-07,2781.483870967742
Midigama Left (market),2023-08,2877.8387096774195
Midigama Left (market),2023-09,2863.4666666666667
Midigama Left (market),2023-10,2872.7419354838707
Midigama Left (market),2023-11,2913.6666666666665
Midigama Left (market),2023-12,2885.9333333333334
Midigama Right,2023-01,2771.548387096774
Midigama Right,2023-02,2783.535714285714
Midigama Right,2023-03,2869.3225806451615
Midigama Right,2023-04,3019.8
Midigama Right,2023-05,2922.7741935483873
Midigama Right,2023-06,2854.3
Midigama Right,2023-07,2781.483870967742
Midigama Right,2023-08,2877.8387096774195
Midigama Right,2023-09,2863.4666666666667
Midigama Right,2023-10,2872.7419354838707
Midigama Right,2023-11,2913.6666666666665
Midigama Right,2023-12,2885.9333333333334
Mirissa,2023-01,2771.548387096774
Mirissa,2023-02,2783.535714285714
Mirissa,2023-03,2869.3225806451615
Mirissa,2023-04,3019.8
Mirissa,2023-05,2922.7741935483873
Mirissa,2023-06,2854.3
Mirissa,2023-07,2781.483870967742
Mirissa,2023-08,2877.8387096774195
Mirissa,2023-09,2863.4666666666667
Mirissa,2023-10,2872.7419354838707
Mirissa,2023-11,2913.6666666666665
Mirissa,2023-12,2885.9333333333334
Okanda,2023-01,2715.0
Okanda,2023-02,2771.1785714285716
Okanda,2023-03,2858.483870967742
Okanda,2023-04,3020.9
Okanda,2023-05,2991.8709677419356
Okanda,2023-06,2947.5666666666666
Okanda,2023-07,2875.516129032258
Okanda,2023-08,2835.1612903225805
Okanda,2023-09,2848.633333333333
Okanda,2023-10,2884.1290322580644
Okanda,2023-11,2923.733333333333
Okanda,2023-12,2855.9
Peanuts Farm,2023-01,2703.3225806451615
Peanuts Farm,2023-02,2758.3928571428573
Peanuts Farm,2023-03,2854.516129032258
Peanuts Farm,2023-04,3015.5333333333333
Peanuts Farm,2023-05,2998.3225806451615
Peanuts Farm,2023-06,2981.9
Peanuts Farm,2023-07,2911.8709677419356
Peanuts Farm,2023-08,2840.6129032258063
Peanuts Farm,2023-09,2845.133333333333
Peanuts Farm,2023-10,2880.6774193548385
Peanuts Farm,2023-11,2916.3333333333335
Peanuts Farm,2023-12,2840.9666666666667
Pottuvil Point,2023-01,2703.3225806451615
Pottuvil Point,2023-02,2758.3928571428573
Pottuvil Point,2023-03,2854.516129032258
Pottuvil Point,2023-04,3015.5333333333333
Pottuvil Point,2023-05,2998.3225806451615
Pottuvil Point,2023-06,2981.9
Pottuvil Point,2023-07,2911.8709677419356
Pottuvil Point,2023-08,2840.6129032258063
Pottuvil Point,2023-09,2845.133333333333
Pottuvil Point,2023-10,2880.6774193548385
Pottuvil Point,2023-11,2916.3333333333335
Pottuvil Point,2023-12,2840.9666666666667
Rockside Induruwa,2023-01,2772.0967741935483
Rockside Induruwa,2023-02,2807.1071428571427
Rockside Induruwa,2023-03,2898.548387096774
Rockside Induruwa,2023-04,3043.733333333333
Rockside Induruwa,2023-05,2973.516129032258
Rockside Induruwa,2023-06,2884.366666666667
Rockside Induruwa,2023-07,2818.2903225806454
Rockside Induruwa,2023-08,2883.3225806451615
Rockside Induruwa,2023-09,2848.1
Rockside Induruwa,2023-10,2861.3548387096776
Rockside Induruwa,2023-11,2914.9
Rockside Induruwa,2023-12,2889.4666666666667
South Beach,2023-01,2771.548387096774
South Beach,2023-02,2783.535714285714
South Beach,2023-03,2869.3225806451615
South Beach,2023-04,3019.8
South Beach,2023-05,2922.7741935483873
South Beach,2023-06,2854.3
South Beach,2023-07,2781.483870967742
South Beach,2023-08,2877.8387096774195
South Beach,2023-09,2863.4666666666667
South Beach,2023-10,2872.7419354838707
South Beach,2023-11,2913.6666666666665
South Beach,2023-12,2885.9333333333334
Thalpe,2023-01,2771.548387096774
Thalpe,2023-02,2783.535714285714
Thalpe,2023-03,2869.3225806451615
Thalpe,2023-04,3019.8
Thalpe,2023-05,2922.7741935483873
Thalpe,2023-06,2854.3
Thalpe,2023-07,2781.483870967742
Thalpe,2023-08,2877.8387096774195
Thalpe,2023-09,2863.4666666666667
Thalpe,2023-10,2872.7419354838707
Thalpe,2023-11,2913.6666666666665
Thalpe,2023-12,2885.9333333333334
Thalyadi,2023-01,2680.3548387096776
Thalyadi,2023-02,2723.6071428571427
Thalyadi,2023-03,2846.7096774193546
Thalyadi,2023-04,3041.4666666666667
Thalyadi,2023-05,2993.8064516129034
Thalyadi,2023-06,2944.266666666667
Thalyadi,2023-07,2914.548387096774
Thalyadi,2023-08,2903.483870967742
Thalyadi,2023-09,2870.9
Thalyadi,2023-10,2901.967741935484
Thalyadi,2023-11,2910.8333333333335
Thalyadi,2023-12,2787.7
Unawatuna,2023-01,2778.835081266465
Unawatuna,2023-02,2792.52129650011
Unawatuna,2023-03,2879.3394303891846
Unawatuna,2023-04,3024.51854134566
Unawatuna,2023-05,2945.9767384064817
Unawatuna,2023-06,2865.964869029276
Unawatuna,2023-07,2809.1503056811976
Unawatuna,2023-08,2886.7024205974453
Unawatuna,2023-09,2848.6630713918858
Unawatuna,2023-10,2865.988369203241
Unawatuna,2023-11,2910.1510529019
Unawatuna,2023-12,2888.2299435028253
Weligama,2023-01,2771.548387096774
Weligama,2023-02,2783.535714285714
Weligama,2023-03,2869.3225806451615
Weligama,2023-04,3019.8
Weligama,2023-05,2922.7741935483873
Weligama,2023-06,2854.3
Weligama,2023-07,2781.483870967742
Weligama,2023-08,2877.8387096774195
Weligama,2023-09,2863.4666666666667
Weligama,2023-10,2872.7419354838707
Weligama,2023-11,2913.6666666666665
Weligama,2023-12,2885.9333333333334
Whiskey Point,2023-01,2703.3225806451615
Whiskey Point,2023-02,2758.3928571428573
Whiskey Point,2023-03,2854.516129032258
Whiskey Point,2023-04,3015.5333333333333
Whiskey Point,2023-05,2998.3225806451615
Whiskey Point,2023-06,2981.9
Whiskey Point,2023-07,2911.8709677419356
Whiskey Point,2023-08,2840.6129032258063
Whiskey Point,2023-09,2845.133333333333
Whiskey Point,2023-10,2880.6774193548385
Whiskey Point,2023-11,2916.3333333333335
Whiskey Point,2023-12,2840.9666666666667
