system:index,date,mean_sst,.geo
20230301,2023-03-01,2794.067251841963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230302,2023-03-02,2805.003361016937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230303,2023-03-03,2816.1805931299077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230304,2023-03-04,2823.445184117578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230305,2023-03-05,2825.2885926258477,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230306,2023-03-06,2831.126023367639,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230307,2023-03-07,2828.838669218448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230308,2023-03-08,2822.1385124891212,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230309,2023-03-09,2831.671287818828,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310,2023-03-10,2817.893693810772,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230311,2023-03-11,2819.850325469311,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230312,2023-03-12,2817.5513918587476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230313,2023-03-13,2818.925466939183,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230314,2023-03-14,2824.870019020166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230315,2023-03-15,2833.8217125237757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230316,2023-03-16,2838.1459906041214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230317,2023-03-17,2854.022548544747,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230318,2023-03-18,2856.485602955026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230319,2023-03-19,2850.9974915433213,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230320,2023-03-20,2859.2124922718326,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230321,2023-03-21,2882.2774679945423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230322,2023-03-22,2865.5402199723626,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230323,2023-03-23,2850.74068189068,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230324,2023-03-24,2879.46684269181,"{""type"":""MultiPoint"",""coordinates"":[]}"
