Surf Spot,Month,SST (°C)
Arugam Bay,2022-01,2769.8387096774195
Arugam Bay,2022-02,2829.0714285714284
Arugam Bay,2022-03,2885.967741935484
Arugam Bay,2022-04,2980.7
Arugam Bay,2022-05,2982.6774193548385
Arugam Bay,2022-06,2961.8333333333335
Arugam Bay,2022-07,2933.2580645161293
Arugam Bay,2022-08,2840.6774193548385
Arugam Bay,2022-09,2861.866666666667
Arugam Bay,2022-10,2929.032258064516
Arugam Bay,2022-11,2834.266666666667
Arugam Bay,2022-12,2726.9666666666667
Dalawella,2022-01,2819.0
Dalawella,2022-02,2859.3214285714284
Dalawella,2022-03,2892.6451612903224
Dalawella,2022-04,2969.733333333333
Dalawella,2022-05,2850.451612903226
Dalawella,2022-06,2824.2
Dalawella,2022-07,2746.9032258064517
Dalawella,2022-08,2636.6774193548385
Dalawella,2022-09,2732.1
Dalawella,2022-10,2799.032258064516
Dalawella,2022-11,2872.866666666667
Dalawella,2022-12,2797.6666666666665
Devils rock,2022-01,2819.0
Devils rock,2022-02,2859.3214285714284
Devils rock,2022-03,2892.6451612903224
Devils rock,2022-04,2969.733333333333
Devils rock,2022-05,2850.451612903226
Devils rock,2022-06,2824.2
Devils rock,2022-07,2746.9032258064517
Devils rock,2022-08,2636.6774193548385
Devils rock,2022-09,2732.1
Devils rock,2022-10,2799.032258064516
Devils rock,2022-11,2872.866666666667
Devils rock,2022-12,2797.6666666666665
"Dewata, Galle",2022-01,2846.4193548387098
"Dewata, Galle",2022-02,2882.3214285714284
"Dewata, Galle",2022-03,2906.3225806451615
"Dewata, Galle",2022-04,2971.9666666666667
"Dewata, Galle",2022-05,2875.8064516129034
"Dewata, Galle",2022-06,2842.4
"Dewata, Galle",2022-07,2770.6774193548385
"Dewata, Galle",2022-08,2690.1935483870966
"Dewata, Galle",2022-09,2744.3333333333335
"Dewata, Galle",2022-10,2784.935483870968
"Dewata, Galle",2022-11,2870.5333333333333
"Dewata, Galle",2022-12,2802.5
Elephant rock,2022-01,2769.8387096774195
Elephant rock,2022-02,2829.0714285714284
Elephant rock,2022-03,2885.967741935484
Elephant rock,2022-04,2980.7
Elephant rock,2022-05,2982.6774193548385
Elephant rock,2022-06,2961.8333333333335
Elephant rock,2022-07,2933.2580645161293
Elephant rock,2022-08,2840.6774193548385
Elephant rock,2022-09,2861.866666666667
Elephant rock,2022-10,2929.032258064516
Elephant rock,2022-11,2834.266666666667
Elephant rock,2022-12,2726.9666666666667
Hikkaduwa,2022-01,2846.4193548387098
Hikkaduwa,2022-02,2882.3214285714284
Hikkaduwa,2022-03,2906.3225806451615
Hikkaduwa,2022-04,2971.9666666666667
Hikkaduwa,2022-05,2875.8064516129034
Hikkaduwa,2022-06,2842.4
Hikkaduwa,2022-07,2770.6774193548385
Hikkaduwa,2022-08,2690.1935483870966
Hikkaduwa,2022-09,2744.3333333333335
Hikkaduwa,2022-10,2784.935483870968
Hikkaduwa,2022-11,2870.5333333333333
Hikkaduwa,2022-12,2802.5
Hiriketiya,2022-01,2811.0
Hiriketiya,2022-02,2852.964285714286
Hiriketiya,2022-03,2887.3870967741937
Hiriketiya,2022-04,2966.633333333333
Hiriketiya,2022-05,2831.7419354838707
Hiriketiya,2022-06,2810.3
Hiriketiya,2022-07,2735.1935483870966
Hiriketiya,2022-08,2608.5806451612902
Hiriketiya,2022-09,2731.8
Hiriketiya,2022-10,2804.516129032258
Hiriketiya,2022-11,2873.3333333333335
