Date,Surf Spot,SST (°C)
2021-01-01,Arugam Bay,2799.1612903225805
2021-01-02,Arugam Bay,2798.3623086071057
2021-01-03,Arugam Bay,2797.563326891631
2021-01-04,Arugam Bay,2796.7643451761555
2021-01-05,Arugam Bay,2795.9653634606807
2021-01-06,Arugam Bay,2795.166381745206
2021-01-07,Arugam Bay,2794.367400029731
2021-01-08,Arugam Bay,2793.5684183142557
2021-01-09,Arugam Bay,2792.769436598781
2021-01-10,Arugam Bay,2791.970454883306
2021-01-11,Arugam Bay,2791.171473167831
2021-01-12,Arugam Bay,2790.3724914523564
2021-01-13,Arugam Bay,2789.573509736881
2021-01-14,Arugam Bay,2788.7745280214062
2021-01-15,Arugam Bay,2787.9755463059314
2021-01-16,Arugam Bay,2787.1765645904566
2021-01-17,Arugam Bay,2786.3775828749813
2021-01-18,Arugam Bay,2785.5786011595064
2021-01-19,Arugam Bay,2784.7796194440316
2021-01-20,Arugam Bay,2783.9806377285568
2021-01-21,Arugam Bay,2783.1816560130815
2021-01-22,Arugam Bay,2782.3826742976066
2021-01-23,Arugam Bay,2781.583692582132
2021-01-24,Arugam Bay,2780.784710866657
2021-01-25,Arugam Bay,2779.985729151182
2021-01-26,Arugam Bay,2779.186747435707
2021-01-27,Arugam Bay,2778.387765720232
2021-01-28,Arugam Bay,2777.588784004757
2021-01-29,Arugam Bay,2776.7898022892823
2021-01-30,Arugam Bay,2775.990820573807
2021-01-31,Arugam Bay,2775.191838858332
2021-02-01,Arugam Bay,2774.3928571428573
2021-02-02,Arugam Bay,2778.5136191573406
2021-02-03,Arugam Bay,2782.634381171824
2021-02-04,Arugam Bay,2786.755143186307
2021-02-05,Arugam Bay,2790.8759052007904
2021-02-06,Arugam Bay,2794.9966672152736
2021-02-07,Arugam Bay,2799.117429229757
2021-02-08,Arugam Bay,2803.2381912442397
2021-02-09,Arugam Bay,2807.358953258723
2021-02-10,Arugam Bay,2811.4797152732062
2021-02-11,Arugam Bay,2815.6004772876895
2021-02-12,Arugam Bay,2819.7212393021728
2021-02-13,Arugam Bay,2823.842001316656
2021-02-14,Arugam Bay,2827.9627633311393
2021-02-15,Arugam Bay,2832.0835253456225
2021-02-16,Arugam Bay,2836.204287360106
2021-02-17,Arugam Bay,2840.325049374589
2021-02-18,Arugam Bay,2844.4458113890723
2021-02-19,Arugam Bay,2848.5665734035556
2021-02-20,Arugam Bay,2852.687335418039
2021-02-21,Arugam Bay,2856.808097432522
2021-02-22,Arugam Bay,2860.9288594470054
2021-02-23,Arugam Bay,2865.049621461488
2021-02-24,Arugam Bay,2869.1703834759714
2021-02-25,Arugam Bay,2873.2911454904547
2021-02-26,Arugam Bay,2877.411907504938
2021-02-27,Arugam Bay,2881.5326695194212
2021-02-28,Arugam Bay,2885.6534315339045
2021-03-01,Arugam Bay,2889.7741935483878
2021-03-02,Arugam Bay,2891.839542143601
2021-03-03,Arugam Bay,2893.904890738814
2021-03-04,Arugam Bay,2895.9702393340276
2021-03-05,Arugam Bay,2898.035587929241
2021-03-06,Arugam Bay,2900.1009365244545
2021-03-07,Arugam Bay,2902.1662851196675
2021-03-08,Arugam Bay,2904.231633714881
2021-03-09,Arugam Bay,2906.2969823100943
2021-03-10,Arugam Bay,2908.3623309053073
2021-03-11,Arugam Bay,2910.4276795005208
2021-03-12,Arugam Bay,2912.493028095734
2021-03-13,Arugam Bay,2914.5583766909476
2021-03-14,Arugam Bay,2916.6237252861606
2021-03-15,Arugam Bay,2918.689073881374
2021-03-16,Arugam Bay,2920.7544224765875
2021-03-17,Arugam Bay,2922.8197710718005
2021-03-18,Arugam Bay,2924.885119667014
2021-03-19,Arugam Bay,2926.9504682622273
2021-03-20,Arugam Bay,2929.0158168574403
2021-03-21,Arugam Bay,2931.0811654526537
2021-03-22,Arugam Bay,2933.146514047867
2021-03-23,Arugam Bay,2935.2118626430806
2021-03-24,Arugam Bay,2937.2772112382936
2021-03-25,Arugam Bay,2939.342559833507
2021-03-26,Arugam Bay,2941.4079084287205
2021-03-27,Arugam Bay,2943.4732570239335
2021-03-28,Arugam Bay,2945.538605619147
2021-03-29,Arugam Bay,2947.6039542143603
2021-03-30,Arugam Bay,2949.6693028095738
2021-03-31,Arugam Bay,2951.7346514047867
2021-04-01,Arugam Bay,2953.8
2021-04-02,Arugam Bay,2956.7797849462368
2021-04-03,Arugam Bay,2959.7595698924733
2021-04-04,Arugam Bay,2962.73935483871
2021-04-05,Arugam Bay,2965.7191397849465
2021-04-06,Arugam Bay,2968.698924731183
2021-04-07,Arugam Bay,2971.6787096774196
2021-04-08,Arugam Bay,2974.658494623656
2021-04-09,Arugam Bay,2977.6382795698923
2021-04-10,Arugam Bay,2980.618064516129
2021-04-11,Arugam Bay,2983.5978494623655
2021-04-12,Arugam Bay,2986.577634408602
2021-04-13,Arugam Bay,2989.5574193548387
2021-04-14,Arugam Bay,2992.5372043010752
2021-04-15,Arugam Bay,2995.516989247312
2021-04-16,Arugam Bay,2998.4967741935484
2021-04-17,Arugam Bay,3001.476559139785
2021-04-18,Arugam Bay,3004.4563440860215
2021-04-19,Arugam Bay,3007.436129032258
2021-04-20,Arugam Bay,3010.4159139784947
2021-04-21,Arugam Bay,3013.3956989247313
2021-04-22,Arugam Bay,3016.375483870968
2021-04-23,Arugam Bay,3019.3552688172044
2021-04-24,Arugam Bay,3022.3350537634406
2021-04-25,Arugam Bay,3025.314838709677
2021-04-26,Arugam Bay,3028.2946236559137
2021-04-27,Arugam Bay,3031.2744086021503
2021-04-28,Arugam Bay,3034.254193548387
2021-04-29,Arugam Bay,3037.2339784946234
2021-04-30,Arugam Bay,3040.21376344086
2021-05-01,Arugam Bay,3043.1935483870966
2021-05-02,Arugam Bay,3042.2281651057924
2021-05-03,Arugam Bay,3041.2627818244882
2021-05-04,Arugam Bay,3040.297398543184
2021-05-05,Arugam Bay,3039.33201526188
2021-05-06,Arugam Bay,3038.3666319805757
2021-05-07,Arugam Bay,3037.4012486992715
2021-05-08,Arugam Bay,3036.4358654179673
2021-05-09,Arugam Bay,3035.470482136663
2021-05-10,Arugam Bay,3034.505098855359
2021-05-11,Arugam Bay,3033.5397155740548
2021-05-12,Arugam Bay,3032.5743322927506
2021-05-13,Arugam Bay,3031.6089490114464
2021-05-14,Arugam Bay,3030.643565730142
2021-05-15,Arugam Bay,3029.678182448838
2021-05-16,Arugam Bay,3028.712799167534
2021-05-17,Arugam Bay,3027.7474158862296
2021-05-18,Arugam Bay,3026.7820326049255
2021-05-19,Arugam Bay,3025.8166493236213
2021-05-20,Arugam Bay,3024.851266042317
2021-05-21,Arugam Bay,3023.885882761013
2021-05-22,Arugam Bay,3022.9204994797087
2021-05-23,Arugam Bay,3021.9551161984045
2021-05-24,Arugam Bay,3020.9897329171004
2021-05-25,Arugam Bay,3020.024349635796
2021-05-26,Arugam Bay,3019.058966354492
2021-05-27,Arugam Bay,3018.093583073188
2021-05-28,Arugam Bay,3017.1281997918836
2021-05-29,Arugam Bay,3016.1628165105794
2021-05-30,Arugam Bay,3015.1974332292752
2021-05-31,Arugam Bay,3014.232049947971
2021-06-01,Arugam Bay,3013.266666666667
2021-06-02,Arugam Bay,3012.100788530466
2021-06-03,Arugam Bay,3010.9349103942654
2021-06-04,Arugam Bay,3009.7690322580647
2021-06-05,Arugam Bay,3008.603154121864
2021-06-06,Arugam Bay,3007.4372759856633
2021-06-07,Arugam Bay,3006.2713978494626
2021-06-08,Arugam Bay,3005.105519713262
2021-06-09,Arugam Bay,3003.939641577061
2021-06-10,Arugam Bay,3002.7737634408604
2021-06-11,Arugam Bay,3001.6078853046597
2021-06-12,Arugam Bay,3000.442007168459
2021-06-13,Arugam Bay,2999.2761290322583
2021-06-14,Arugam Bay,2998.1102508960576
2021-06-15,Arugam Bay,2996.944372759857
2021-06-16,Arugam Bay,2995.778494623656
2021-06-17,Arugam Bay,2994.6126164874554
2021-06-18,Arugam Bay,2993.4467383512547
2021-06-19,Arugam Bay,2992.280860215054
2021-06-20,Arugam Bay,2991.1149820788532
2021-06-21,Arugam Bay,2989.9491039426525
2021-06-22,Arugam Bay,2988.783225806452
2021-06-23,Arugam Bay,2987.617347670251
2021-06-24,Arugam Bay,2986.4514695340504
2021-06-25,Arugam Bay,2985.2855913978497
2021-06-26,Arugam Bay,2984.119713261649
2021-06-27,Arugam Bay,2982.953835125448
2021-06-28,Arugam Bay,2981.7879569892475
2021-06-29,Arugam Bay,2980.622078853047
2021-06-30,Arugam Bay,2979.456200716846
2021-07-01,Arugam Bay,2978.2903225806454
2021-07-02,Arugam Bay,2976.1883454734652
2021-07-03,Arugam Bay,2974.086368366285
2021-07-04,Arugam Bay,2971.9843912591055
2021-07-05,Arugam Bay,2969.8824141519253
2021-07-06,Arugam Bay,2967.780437044745
2021-07-07,Arugam Bay,2965.678459937565
2021-07-08,Arugam Bay,2963.576482830385
2021-07-09,Arugam Bay,2961.4745057232053
2021-07-10,Arugam Bay,2959.372528616025
2021-07-11,Arugam Bay,2957.270551508845
2021-07-12,Arugam Bay,2955.168574401665
2021-07-13,Arugam Bay,2953.066597294485
2021-07-14,Arugam Bay,2950.964620187305
2021-07-15,Arugam Bay,2948.862643080125
2021-07-16,Arugam Bay,2946.760665972945
2021-07-17,Arugam Bay,2944.658688865765
2021-07-18,Arugam Bay,2942.5567117585847
2021-07-19,Arugam Bay,2940.4547346514046
2021-07-20,Arugam Bay,2938.352757544225
2021-07-21,Arugam Bay,2936.250780437045
2021-07-22,Arugam Bay,2934.1488033298647
2021-07-23,Arugam Bay,2932.0468262226846
2021-07-24,Arugam Bay,2929.9448491155044
2021-07-25,Arugam Bay,2927.842872008325
2021-07-26,Arugam Bay,2925.7408949011447
2021-07-27,Arugam Bay,2923.6389177939645
2021-07-28,Arugam Bay,2921.5369406867844
2021-07-29,Arugam Bay,2919.4349635796043
2021-07-30,Arugam Bay,2917.3329864724246
2021-07-31,Arugam Bay,2915.2310093652445
2021-08-01,Arugam Bay,2913.1290322580644
2021-08-02,Arugam Bay,2911.2754075615676
2021-08-03,Arugam Bay,2909.421782865071
2021-08-04,Arugam Bay,2907.5681581685744
2021-08-05,Arugam Bay,2905.7145334720776
2021-08-06,Arugam Bay,2903.860908775581
2021-08-07,Arugam Bay,2902.007284079084
2021-08-08,Arugam Bay,2900.1536593825876
2021-08-09,Arugam Bay,2898.300034686091
2021-08-10,Arugam Bay,2896.446409989594
2021-08-11,Arugam Bay,2894.592785293097
2021-08-12,Arugam Bay,2892.7391605966004
2021-08-13,Arugam Bay,2890.885535900104
2021-08-14,Arugam Bay,2889.0319112036073
2021-08-15,Arugam Bay,2887.1782865071104
2021-08-16,Arugam Bay,2885.3246618106136
2021-08-17,Arugam Bay,2883.4710371141173
2021-08-18,Arugam Bay,2881.6174124176205
2021-08-19,Arugam Bay,2879.7637877211237
2021-08-20,Arugam Bay,2877.910163024627
2021-08-21,Arugam Bay,2876.0565383281305
2021-08-22,Arugam Bay,2874.2029136316337
2021-08-23,Arugam Bay,2872.349288935137
2021-08-24,Arugam Bay,2870.49566423864
2021-08-25,Arugam Bay,2868.6420395421433
2021-08-26,Arugam Bay,2866.788414845647
2021-08-27,Arugam Bay,2864.93479014915
2021-08-28,Arugam Bay,2863.0811654526533
2021-08-29,Arugam Bay,2861.2275407561565
2021-08-30,Arugam Bay,2859.37391605966
2021-08-31,Arugam Bay,2857.5202913631633
2021-09-01,Arugam Bay,2855.6666666666665
2021-09-02,Arugam Bay,2857.239068100358
2021-09-03,Arugam Bay,2858.81146953405
2021-09-04,Arugam Bay,2860.383870967742
2021-09-05,Arugam Bay,2861.9562724014336
2021-09-06,Arugam Bay,2863.5286738351256
2021-09-07,Arugam Bay,2865.101075268817
2021-09-08,Arugam Bay,2866.673476702509
2021-09-09,Arugam Bay,2868.2458781362006
2021-09-10,Arugam Bay,2869.818279569892
2021-09-11,Arugam Bay,2871.390681003584
2021-09-12,Arugam Bay,2872.963082437276
2021-09-13,Arugam Bay,2874.5354838709677
2021-09-14,Arugam Bay,2876.1078853046592
2021-09-15,Arugam Bay,2877.6802867383512
2021-09-16,Arugam Bay,2879.2526881720432
2021-09-17,Arugam Bay,2880.825089605735
2021-09-18,Arugam Bay,2882.3974910394263
2021-09-19,Arugam Bay,2883.9698924731183
2021-09-20,Arugam Bay,2885.5422939068103
2021-09-21,Arugam Bay,2887.114695340502
